LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID33763,33763,140,1.4746692180633545,1558.311942662347,819.052676477341,0.0,347.0,347,7.5,1,,190.78733031674207,186.0,166.0,274.0,42164.0,18.06591523546317,0.030341553168736643,0.6219796157343523
ID33764,33764,130,0.9763010740280151,66.70674207090059,1012.9148333327903,0.0,347.0,347,7.5,1,,161.87782805429865,160.0,140.0,187.0,35775.0,9.575466130943484,0.02845147196749414,0.9353591000679028
ID33753,33753,150,1.137256383895874,1507.6514601372521,7.731399825031429,0.0,347.0,347,7.5,1,,178.4841628959276,175.0,153.0,235.0,39445.0,14.02517129536226,0.0635293944626712,1.5203610199142068
ID33754,33754,148,1.0932101011276245,1322.8013610828116,46.33162547794486,0.0,347.0,347,7.5,1,,190.55656108597285,190.0,163.0,229.0,42113.0,13.660916877658579,0.029391716410240732,0.7965597044912811
ID33755,33755,137,0.833947479724884,1190.7810177777885,71.00940260254502,0.0,347.0,347,7.5,1,,184.84162895927602,184.0,167.0,222.0,40850.0,9.630316008591802,0.01821300615012211,0.6866449630890116
ID33756,33756,149,0.9648562669754028,1186.3559521536836,426.8936657404235,0.0,347.0,347,7.5,1,,192.31674208144796,190.0,172.0,267.0,42502.0,13.527720370728773,0.0165090698781768,0.4617786175588536
ID33757,33757,151,0.8949970006942749,1012.7402932375419,456.93691896125847,0.0,347.0,347,7.5,1,,198.69230769230768,199.0,180.0,222.0,43911.0,8.5692571342076,0.02654611472907423,1.1991965715676942
ID33758,33758,103,0.7633280158042908,1180.1134591615796,468.9094305467537,0.0,347.0,347,7.5,1,,193.67420814479638,192.0,170.0,227.0,42802.0,10.855359586696283,0.01655687138365808,0.5811713079632578
ID33759,33759,129,0.6471249461174011,1533.512806287888,471.85731773447344,0.0,347.0,347,7.5,1,,184.47963800904978,182.0,166.0,220.0,40770.0,9.597148812168767,0.012013813727921034,0.4563842600675108
ID33740,33740,150,1.1399646997451782,1504.409256101323,5.643264253329756,0.0,348.0,348,7.5,1,,178.5610859728507,175.0,151.0,233.0,39462.0,14.886300190468981,0.10228875335075971,2.22619165793391
ID33741,33741,148,1.1887763738632202,1323.3471996619219,45.907753348264755,0.0,348.0,348,7.5,1,,191.63348416289594,189.0,164.0,234.0,42351.0,13.625062504809868,0.032347776756879144,0.8814167483290866
ID33742,33742,137,0.843540608882904,1190.6081921029795,71.24396037518954,0.0,348.0,348,7.5,1,,185.47963800904978,185.0,166.0,214.0,40991.0,9.099240320698282,0.02097072385961853,0.837377394196045
ID33743,33743,,0.7138991355895996,297.58848932932597,278.67294007475414,0.0,348.0,348,7.5,1,,180.2579185520362,180.0,163.0,203.0,39837.0,6.896078807598474,0.023127996941405136,1.181762443704239
ID33744,33744,149,0.9531578421592712,1182.006036053299,423.2066826845771,0.0,348.0,348,7.5,1,,191.9004524886878,189.0,171.0,278.0,42410.0,15.188184695340581,0.015233342246811207,0.3791660565496075
ID33745,33745,152,0.7451257705688477,33.48741457912598,445.55886575872137,0.0,348.0,348,7.5,1,,162.38009049773757,162.0,139.0,185.0,35886.0,7.762401338324854,0.02167737961360929,0.8876866459102841
ID33746,33746,151,0.9409264922142029,1015.1905808574938,459.29806340435636,0.0,348.0,348,7.5,1,,199.08597285067873,198.0,174.0,225.0,43998.0,9.142151754830506,0.027855022316776935,1.1803040022304083
ID33747,33747,103,0.742639422416687,1179.0362242908388,468.43025725815056,0.0,348.0,348,7.5,1,,193.60633484162895,192.0,172.0,221.0,42787.0,10.093821497066626,0.016428305914130692,0.6200260967113012
ID33748,33748,129,0.7363601922988892,1533.1186500176993,472.8847514138822,0.0,348.0,348,7.5,1,,184.69230769230768,183.0,165.0,224.0,40817.0,10.410893971543143,0.01364395233252089,0.47757934963302406
ID33749,33749,146,1.1583631038665771,1283.7833532891552,559.523471007442,0.0,348.0,348,7.5,1,,195.420814479638,194.0,170.0,245.0,43188.0,11.839046386158275,0.02774236780663041,0.8911347050167396
ID33750,33750,138,1.1021965742111206,386.33064884346055,579.3909014882558,0.0,348.0,348,7.5,1,,189.10407239819006,185.0,162.0,249.0,41792.0,13.945446688442402,0.02343891097989164,0.6211177669239527
ID33751,33751,140,1.5173404216766357,1558.3000003831385,819.0461057430429,0.0,348.0,348,7.5,1,,191.89592760180994,186.0,168.0,268.0,42409.0,17.997298576938203,0.032239577455750776,0.66603532977327
ID33752,33752,130,0.831645131111145,63.43874693378388,1014.1320702960023,0.0,348.0,348,7.5,1,,162.54751131221718,162.0,145.0,192.0,35923.0,7.768453435419469,0.029823342919578485,1.2119071392543792
ID33730,33730,150,1.3497023582458496,1503.7177347225993,6.067991015738058,0.0,349.0,349,7.5,1,,181.3710407239819,177.0,158.0,242.0,40083.0,16.414181044649045,0.10955668427481288,2.1820671297799676
ID33731,33731,148,1.1244593858718872,1322.6544083952795,46.651480824617984,0.0,349.0,349,7.5,1,,190.1131221719457,188.0,163.0,225.0,42015.0,13.875120301804653,0.02916685339636026,0.7766209841893459
ID33732,33732,137,0.8899993896484375,1190.5966858243416,71.21719709832568,0.0,349.0,349,7.5,1,,185.39366515837105,185.0,162.0,216.0,40972.0,9.847184907193657,0.021319025095502507,0.7859930607041536
ID33733,33733,149,0.8894849419593811,1181.5520780404104,419.41857770478293,0.0,349.0,349,7.5,1,,191.16742081447964,188.0,171.0,259.0,42248.0,13.671936324567172,0.012667937055813231,0.3498264851680158
ID33734,33734,152,0.8254022002220154,30.500283752892663,444.7027477011818,0.0,349.0,349,7.5,1,,162.21719457013575,161.0,145.0,187.0,35850.0,8.892175994208074,0.02130502892694019,0.76110660374281
ID33735,33735,151,0.8928879499435425,1014.3070012489117,461.1576286235299,0.0,349.0,349,7.5,1,,199.62443438914028,200.0,177.0,225.0,44117.0,8.588001157613787,0.02629054391102143,1.1909152146794664
ID33736,33736,103,0.8084772229194641,1179.8536687630499,468.23215891403044,0.0,349.0,349,7.5,1,,193.54298642533936,193.0,170.0,239.0,42773.0,11.630063243195364,0.016544672181287336,0.5416977793322348
