LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID97368,97368,611,1.204546570777893,1294.1555090613426,584.3047933929881,0.0,1117.0,1117,7.5,1,,181.10859728506787,178.0,160.0,229.0,40025.0,13.072071837102037,0.02647645970244947,0.7147193754563115
ID97377,97377,597,1.0058009624481201,116.6129795967362,635.9420089808909,0.0,1118.0,1118,7.5,1,,162.65610859728505,160.0,140.0,210.0,35947.0,11.800975355181773,0.023161488708414345,0.6240289750366629
ID97376,97376,611,1.0299946069717407,1295.7358409548256,590.353102116974,0.0,1118.0,1118,7.5,1,,181.2941176470588,179.0,161.0,209.0,40066.0,10.573956504059051,0.0247249425704268,0.8273783893707061
ID97371,97371,614,0.8000504970550537,581.2665649169896,30.926596148016074,0.0,1118.0,1118,7.5,1,,168.12217194570135,167.0,150.0,195.0,37155.0,9.36329908775021,0.016574791765770314,0.5855107002844332
ID97370,97370,610,1.414947748184204,405.84186038842904,21.769108238139093,0.0,1118.0,1118,7.5,1,,167.47511312217193,163.0,137.0,291.0,37012.0,19.554017620447766,0.029863960377005276,0.49672019062606115
ID97373,97373,615,0.7657627463340759,584.8902581260479,356.59771105557866,0.0,1118.0,1118,7.5,1,,181.40723981900453,181.0,160.0,206.0,40091.0,7.135490177559186,0.027370868394323143,1.3546344872206375
ID97372,97372,613,0.8411689400672913,377.86978109767864,109.71858984365427,0.0,1118.0,1118,7.5,1,,165.71493212669682,162.0,142.0,221.0,36623.0,11.952755620658795,0.016454659798678613,0.4488740460629246
ID97375,97375,607,1.4337177276611328,732.0180652238967,567.2153722103913,0.0,1118.0,1118,7.5,1,,187.71945701357467,185.0,161.0,239.0,41486.0,14.142554471401295,0.034373940166830715,0.8821921135815481
ID97374,97374,603,0.9051769375801086,1205.7552883539374,399.025739113844,0.0,1118.0,1118,7.5,1,,179.28054298642533,176.0,161.0,232.0,39621.0,12.228247167715192,0.018859720382875103,0.5427749580162295
ID97379,97379,614,0.8036769032478333,585.2928178682251,25.267984745008224,0.0,1119.0,1119,7.5,1,,168.2714932126697,167.0,145.0,205.0,37188.0,9.020106431351477,0.01818584589804963,0.666400529520088
ID97378,97378,610,1.2032305002212524,411.5379127177514,23.596505978822684,0.0,1119.0,1119,7.5,1,,166.39819004524887,162.0,145.0,216.0,36774.0,13.822405933848215,0.027411181694680833,0.6423598987405917
ID97381,97381,615,1.0260499715805054,577.2129115714259,362.82522251130223,0.0,1119.0,1119,7.5,1,,181.85972850678732,181.0,155.0,215.0,40191.0,9.483155301449562,0.030817190662276995,1.146634656411377
ID97380,97380,613,1.0679545402526855,376.07962910218487,114.51632635892847,0.0,1119.0,1119,7.5,1,,168.21266968325793,165.0,145.0,234.0,37175.0,13.685925837231954,0.024591254988046866,0.5899898838542262
ID97383,97383,607,1.3574692010879517,734.5596713304606,567.8971169468832,0.0,1119.0,1119,7.5,1,,187.92760180995475,186.0,164.0,231.0,41532.0,12.628762558857334,0.0349273716250254,1.0044210394985431
ID97382,97382,603,1.1233350038528442,1202.8657700375218,398.4491545561134,0.0,1119.0,1119,7.5,1,,181.14027149321268,178.0,157.0,254.0,40032.0,14.633500106963536,0.02338006712887244,0.5655950435014357
ID97385,97385,597,1.2031744718551636,116.4683315426803,635.3359474635496,0.0,1119.0,1119,7.5,1,,163.73303167420815,161.0,139.0,223.0,36185.0,14.39464055390981,0.02670653187814352,0.591747788162697
ID97384,97384,611,1.0850789546966553,1296.614898042555,599.3687500714474,0.0,1119.0,1119,7.5,1,,181.98190045248867,181.0,161.0,221.0,40218.0,10.970606928145019,0.0268752264941505,0.8682843901513859
ID97393,97393,611,1.1762067079544067,1302.0768474446545,602.14670334572,0.0,1120.0,1120,7.5,1,,182.0,180.0,161.0,226.0,40222.0,11.600940400752785,0.028365396488281916,0.8654651643204957
ID97392,97392,607,1.312326431274414,733.855018692441,569.6395591259511,0.0,1120.0,1120,7.5,1,,187.5339366515837,185.0,161.0,236.0,41445.0,12.519257071174414,0.03259130826721962,0.9455938470212272
ID97394,97394,597,1.0748131275177002,116.89298427115347,635.9936323217177,0.0,1120.0,1120,7.5,1,,162.9004524886878,160.0,140.0,205.0,36001.0,12.155023270377324,0.025269206597009902,0.6606176672345576
ID97387,97387,610,1.3818248510360718,411.99946754509426,23.795378044311867,0.0,1120.0,1120,7.5,1,,168.06787330316743,163.0,140.0,227.0,37143.0,15.619623715123765,0.03146283137081159,0.6564298971270629
ID97386,97386,614,0.7640312314033508,584.5767852855525,20.85195316236929,0.0,1120.0,1120,7.5,1,,168.17194570135746,168.0,146.0,197.0,37166.0,9.14665017254166,0.018202512406841658,0.6573832691576207
ID97389,97389,615,1.1954147815704346,570.5530537441434,366.4676421698472,0.0,1120.0,1120,7.5,1,,182.62443438914028,181.0,152.0,214.0,40360.0,10.506670620112697,0.03469331630441372,1.1656225320392257
ID97388,97388,613,0.8105151653289795,374.8628286065003,122.19298235914216,0.0,1120.0,1120,7.5,1,,166.1764705882353,164.0,144.0,209.0,36725.0,10.530932283485551,0.017665076151690603,0.5478268946748139
ID97391,97391,616,0.7377644181251526,103.04357798196527,488.4335402999518,0.0,1120.0,1120,7.5,1,,159.4162895927602,159.0,138.0,189.0,35231.0,8.601189494235948,0.019613311452334907,0.7130493769092606
ID97390,97390,603,1.0112199783325195,1202.3934414347686,393.83199280441164,0.0,1120.0,1120,7.5,1,,180.26696832579185,177.0,159.0,266.0,39839.0,14.773940335601104,0.018670220076435883,0.44726574404648095
ID97395,97395,614,0.8007630705833435,584.4417041452023,13.579606930137752,0.0,1121.0,1121,7.5,1,,167.14027149321268,166.0,146.0,198.0,36938.0,9.728741762920464,0.01679463622674044,0.5675338608920069
ID97397,97397,613,0.757540762424469,375.992794671996,127.83123356069368,0.0,1121.0,1121,7.5,1,,166.5339366515837,165.0,147.0,212.0,36804.0,10.67430974458028,0.01761274089639723,0.5400542068099411
ID97396,97396,610,1.0684629678726196,411.9638995155629,22.78255762851786,0.0,1121.0,1121,7.5,1,,166.39819004524887,164.0,144.0,205.0,36774.0,11.455637610923695,0.027805038865311972,0.7859086901945059
ID97399,97399,616,0.8957224488258362,105.66746547674397,489.7890731296656,0.0,1121.0,1121,7.5,1,,161.21719457013575,159.0,144.0,203.0,35629.0,10.138489815063792,0.0235771752572204,0.7325533600567342
