LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID112913,112913,1,1.0199930667877197,463.6101668764849,575.8420940273534,0.0,538.0,538,7.5,1,,188.65158371040724,188.0,159.0,221.0,41692.0,9.599283104316921,0.026960075620441146,1.0318562444990609
ID112912,112912,246,0.5208947062492371,974.4048282270671,572.2660591064033,0.0,538.0,538,7.5,1,,185.3891402714932,186.0,168.0,205.0,40971.0,7.501070813451657,0.010465496260481055,0.5119521356411622
ID112915,112915,0,0.652549684047699,678.9156526099116,635.5895425212049,0.0,538.0,538,7.5,1,,188.50678733031674,189.0,161.0,218.0,41660.0,9.112738291934722,0.015066458267862563,0.6140797628776732
ID112914,112914,226,0.8827850222587585,1240.6733834634888,605.1913046937995,0.0,538.0,538,7.5,1,,185.71493212669682,184.0,165.0,219.0,41043.0,10.99525532465996,0.021741885549012605,0.7188321764371993
ID112917,112917,245,0.5070551037788391,1296.2226617354797,827.3214686349521,0.0,538.0,538,7.5,1,,179.36651583710406,179.0,163.0,202.0,39640.0,7.3581470670254525,0.009667080665520236,0.4667883944149485
ID112916,112916,2,1.2389553785324097,1475.7637899494694,785.8057488674476,0.0,538.0,538,7.5,1,,184.2262443438914,180.0,159.0,236.0,40714.0,14.62977781829758,0.02932551740900039,0.7175244556169172
ID112919,112919,222,0.8864659070968628,554.708481425349,1073.319997803878,0.0,538.0,538,7.5,1,,183.28054298642533,182.0,164.0,221.0,40505.0,10.917585134010679,0.024381524093847497,0.7991326674707792
ID112918,112918,239,0.791894793510437,126.75059928708043,1027.1116899947706,0.0,538.0,538,7.5,1,,173.0995475113122,171.0,153.0,205.0,38255.0,10.661274432336697,0.02279259407793594,0.7236407031505232
ID112909,112909,247,0.6147975325584412,1547.0,0.0,0.0,538.0,538,7.5,1,,137.51131221719456,163.0,0.0,189.0,30390.0,56.24157398383646,0.15018827025760012,0.6385251927313599
ID112911,112911,242,0.705299437046051,509.1453318636479,487.96926378459636,0.0,538.0,538,7.5,1,,184.36651583710406,184.0,165.0,207.0,40745.0,8.679995867509112,0.015477308830497262,0.6474671677710528
ID112910,112910,248,0.563940167427063,1117.7241715699743,239.0543219585632,0.0,538.0,538,7.5,1,,182.31221719457014,181.0,165.0,208.0,40291.0,7.970815235360084,0.012655885135104293,0.571707197415614
ID112933,112933,248,0.5337178707122803,1120.495265530072,242.74063039600523,0.0,539.0,539,7.5,1,,182.01809954751133,181.0,160.0,207.0,40226.0,8.170325352876926,0.011765143016384563,0.518110886619187
